source_id,sample_id,profile,trace_type,entity_type,entity_level,aggregation,definition_key,n_total,n_applicable,n_not_applicable,n_present,n_valid,n_missing,n_excluded,coverage_ratio,missing_reasons,exclusion_reasons,not_applicable_reason
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,max_source_context_tokens,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,total_api_latency_s,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,tool_call_count,1,1,0,1,1,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,run_elapsed,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,local_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,entity,all_requests,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,total_input_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,total_output_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,source_context_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,cached_input_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,reasoning_output_tokens,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,ttft,70,70,0,70,70,0,0,1.0,{},{},
gen_videoweaver_traces,VW-LONG,semantic_trace,benchmark_real,run,request,single_request,api_latency,70,70,0,70,70,0,0,1.0,{},{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,single_request,total_input_tokens,1,1,0,0,0,1,0,0.0,"{""not_recorded"": 1}",{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,single_request,total_output_tokens,1,1,0,0,0,1,0,0.0,"{""not_recorded"": 1}",{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,single_request,ttft,1,1,0,1,1,0,0,1.0,{},{},
telemetry_video_weaver,AUX-INCOMPLETE,semantic_trace,unknown,unassigned_request,request,single_request,api_latency,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,,tool_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
