source_id,sample_id,profile,trace_type,entity_type,entity_level,definition_key,n_total,n_applicable,n_not_applicable,n_present,n_valid,n_missing,n_excluded,coverage_ratio,missing_reasons,exclusion_reasons,not_applicable_reason
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,subagent_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,observed_span,2,2,0,2,2,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,observed_span,2,2,0,2,2,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,turn_count,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,tool_call_count,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,run_elapsed,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-7,semantic_trace,production_derived,run,entity,local_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,request_presence,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,total_input_tokens,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,total_output_tokens,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,api_latency,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_ttft,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_think_time,7,7,0,6,6,1,0,0.8571428571428571,"{""not_recorded"": 1}",{},
agentx_256k,AX-7,semantic_trace,production_derived,run,request,source_start,7,7,0,7,7,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,subagent_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,observed_span,2,2,0,2,2,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,model_request_count,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_input_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_output_tokens,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,max_input_context,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,total_api_latency_ns,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,observed_span,2,2,0,2,2,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,model_overlap,1,1,0,1,1,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,turn_count,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,tool_call_count,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,run_elapsed,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,entity,local_cpu_time,1,1,0,0,0,1,0,0.0,"{""unsupported"": 1}",{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,request_presence,21,21,0,21,21,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,total_input_tokens,21,21,0,21,21,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,total_output_tokens,21,21,0,21,21,0,0,1.0,{},{},
agentx_256k,AX-SUB,semantic_trace,production_derived,run,request,api_latency,21,21,0,21,21,0,0,1.0,{},{},
